Year,Region,Country,Christians,Muslims,Unaffiliated,Hindus,Buddhists,Folk Religions,Other Religions,Jews,All Religions
2020,North America,Canada,24280000,1030000,8950000,610000,370000,450000,430000,420000,36550000
2020,Sub-Saharan Africa,Cape Verde,510000,10000,50000,10000,10000,10000,10000,10000,570000
2020,Latin America-Caribbean,Cayman Islands,50000,10000,10000,10000,10000,10000,10000,10000,60000
2020,Sub-Saharan Africa,Central African Republic,4770000,480000,50000,10000,10000,50000,10000,10000,5360000
2020,Sub-Saharan Africa,Chad,6040000,8090000,350000,10000,10000,190000,20000,10000,14690000
2020,Europe,Channel Islands,130000,10000,20000,10000,10000,10000,10000,10000,150000
2020,Latin America-Caribbean,Chile,16380000,10000,1800000,10000,10000,270000,40000,20000,18540000
2020,Asia-Pacific,China,72410000,28010000,720100000,30000,254700000,304620000,9560000,10000,1389430000
2020,Latin America-Caribbean,Colombia,48150000,10000,3510000,10000,10000,430000,40000,10000,52160000
2020,Sub-Saharan Africa,Comoros,10000,940000,10000,10000,10000,10000,10000,10000,960000
2020,Sub-Saharan Africa,Republic of the Congo,4480000,60000,410000,10000,10000,140000,50000,10000,5150000
2020,Sub-Saharan Africa,Democratic Republic of the Congo,81520000,1310000,1450000,40000,10000,620000,110000,10000,85060000
2020,Asia-Pacific,Cook Islands,20000,10000,10000,10000,10000,10000,10000,10000,20000
2020,Latin America-Caribbean,Costa Rica,4780000,10000,420000,10000,10000,40000,20000,10000,5270000
2020,Sub-Saharan Africa,Ivory Coast,10690000,9040000,1970000,10000,10000,2550000,40000,10000,24320000
2020,Europe,Croatia,4010000,70000,220000,10000,10000,10000,10000,10000,4300000
2020,Latin America-Caribbean,Cuba,6610000,10000,2600000,20000,10000,1980000,10000,10000,11230000
2020,Asia-Pacific,Cyprus,880000,300000,20000,10000,10000,10000,10000,10000,1220000
2020,Europe,Czech Republic,2210000,20000,8280000,10000,20000,20000,10000,10000,10560000
2020,Europe,Denmark,4640000,290000,680000,30000,20000,10000,10000,10000,5670000
2020,Sub-Saharan Africa,Djibouti,20000,1030000,10000,10000,10000,10000,10000,10000,1070000
2020,Latin America-Caribbean,Dominica,70000,10000,10000,10000,10000,10000,10000,10000,70000
2020,Latin America-Caribbean,Dominican Republic,9930000,10000,1230000,10000,10000,100000,10000,10000,11280000
2020,Latin America-Caribbean,Ecuador,15490000,10000,920000,10000,10000,50000,10000,10000,16480000
2020,Middle East-North Africa,Egypt,4440000,90420000,10000,10000,10000,10000,10000,10000,94870000
2020,Latin America-Caribbean,El Salvador,5870000,10000,740000,10000,10000,30000,20000,10000,6670000
2020,Sub-Saharan Africa,Equatorial Guinea,770000,30000,40000,10000,10000,10000,10000,10000,860000
2020,Sub-Saharan Africa,Eritrea,4230000,2460000,10000,10000,10000,30000,10000,10000,6730000
2020,Europe,Estonia,500000,10000,770000,10000,10000,10000,10000,10000,1280000
2020,Sub-Saharan Africa,Ethiopia,62610000,36290000,60000,10000,10000,2120000,10000,10000,101100000
